popular_ranking,artist_name,decade,genre
372,ramones,70's,rock
373,david bowie,80's,rock
374,a tribe called quest,10's,jazz
375,outkast,90's,hip-hop
376,vampire weekend,00's,rock
377,fugazi,90's,rock
378,pink floyd,90's,rock
379,the national,00's,rock
380,duster,90's,rock
381,tame impala,10's,rock
382,charli xcx,10's,electronic
384,yo la tengo,90's,rock
385,death grips,10's,hip-hop
386,the clash,70's,rock
387,aphex twin,00's,electronic
388,mac demarco,10's,pop
389,"tyler, the creator",10's,hip-hop
390,the stooges,60's,rock
391,metallica,00's,metal
392,earl sweatshirt,10's,hip-hop
393,violent femmes,80's,rock
394,kyuss,90's,rock
395,kraftwerk,70's,electronic
396,oasis,90's,rock
397,bruce springsteen,70's,rock
398,deerhunter,10's,rock
399,queens of the stone age,10's,rock
400,blur,90's,rock
401,suicide,70's,rock
402,built to spill,90's,rock
403,vince staples,10's,hip-hop
405,kate bush,80's,pop
406,injury reserve,10's,hip-hop
407,modest mouse,00's,rock
408,sigur rós,00's,rock
409,the cure,80's,rock
410,muse,00's,rock
411,neil young,70's,rock
412,avey tare and panda bearavey tarepanda bear,00's,rock
413,against all logic,10's,electronic
414,run the jewels,10's,hip-hop
415,queens of the stone age,00's,rock
416,pink floyd,60's,rock
417,franz ferdinand,00's,rock
418,king gizzard and the lizard wizard,10's,rock
419,iron maiden,80's,metal
420,childish gambino,10's,soul_funk
421,brockhampton,10's,hip-hop
422,the rolling stones,60's,rock
423,the white stripes,00's,rock
424,eminem,90's,hip-hop
425,stevie wonder,70's,soul_funk
426,oneohtrix point never,10's,electronic
427,neutral milk hotel,90's,rock
428,ride,90's,rock
429,neil young with crazy horseneil youngcrazy horse,60's,rock
430,ween,90's,rock
431,beach house,10's,rock
432,kero kero bonito,10's,electronic
433,tool,90's,metal
434,sonic youth,80's,rock
435,jethro tull,70's,rock
436,godspeed you! black emperor,10's,rock
437,eno,70's,rock
438,the antlers,00's,rock
439,david bowie,70's,rock
440,elliott smith,90's,pop
441,bon iver,10's,pop
442,herbie hancock,70's,jazz
443,public enemy,80's,hip-hop
444,stevie wonder,70's,soul_funk
445,idles,10's,rock
446,the kinks,60's,rock
447,the dismemberment plan,90's,rock
448,danny brown,10's,hip-hop
449,slowdive,10's,rock
450,swans,90's,rock
451,denzel curry x kenny beatsdenzel currykenny beats,10's,hip-hop
452,nick cave and the bad seeds,90's,rock
453,bowie,70's,rock
454,the mars volta,00's,rock
455,george harrison,70's,rock
456,deep purple,70's,rock
457,pixies,90's,rock
458,tom waits,80's,rock
459,boris,00's,rock
460,charles mingus,50's,jazz
461,eminem,00's,hip-hop
462,john coltrane,50's,jazz
463,yves tumor,10's,rock
464,the killers,00's,rock
465,system of a down,90's,metal
466,dua lipa,10's,pop
467,captain beefheart and his magic band,60's,rock
468,the cure,80's,rock
469,dr. dre,90's,hip-hop
470,mac miller,10's,soul_funk
471,iron maiden,80's,metal
472,king crimson,70's,rock
473,system of a down,00's,metal
474,lil ugly mane,10's,hip-hop
475,this heat,80's,rock
476,lana del rey,10's,pop
477,vampire weekend,10's,pop
478,leonard cohen,70's,folk
479,big black,80's,rock
480,megadeth,80's,metal
481,unwound,00's,rock
482,boris,00's,rock
483,john coltrane,60's,jazz
484,nine inch nails,90's,rock
485,mastodon,00's,metal
486,neu!,70's,rock
487,the mothers of invention,60's,rock
488,파란노을 [parannoul],10's,rock
489,the xx,00's,pop
490,arcade fire,10's,rock
491,iron maiden,80's,metal
493,jethro tull,70's,rock
494,squid,10's,rock
495,pink floyd,80's,rock
496,jpegmafia,10's,hip-hop
497,rush,70's,rock
498,elliott smith,90's,folk
499,black flag,80's,rock
500,simon and garfunkel,70's,pop
501,john lennon / plastic ono band,70's,rock
502,run the jewels,10's,hip-hop
503,slowdive,90's,rock
504,jessie ware,10's,pop
505,little simz,10's,hip-hop
506,agalloch,00's,metal
507,sun kil moon,10's,folk
509,faith no more,90's,rock
510,the national,10's,rock
511,denzel curry,10's,hip-hop
512,sonic youth,90's,rock
513,hüsker dü,80's,rock
514,freddie gibbs & the alchemist,10's,hip-hop
515,interpol,00's,rock
516,death grips,10's,rock
517,lorde,10's,pop
518,the cure,70's,rock
519,silk sonic,10's,soul_funk
520,mobb deep,90's,hip-hop
521,aphex twin,90's,electronic
522,deftones,90's,metal
523,broken social scene,00's,rock
524,denzel curry,10's,hip-hop
525,coldplay,00's,rock
526,cream,60's,rock
527,explosions in the sky,00's,rock
528,the cure,80's,rock
529,mgmt,10's,rock
530,metallica,90's,rock
531,flying lotus,10's,jazz
532,pulp,90's,rock
533,weezer,00's,rock
534,the who,60's,rock
535,james blake,10's,pop
536,mac demarco,10's,pop
537,minutemen,80's,rock
538,sufjan stevens,00's,folk
539,metallica,00's,metal
540,swans,90's,rock
541,gorillaz,10's,pop
542,brockhampton,10's,pop
543,sweet trip,00's,pop
544,the microphones,00's,folk
545,kid cudi,00's,pop
546,devo,70's,rock
547,crystal castles,00's,electronic
548,porcupine tree,00's,rock
549,bloc party,00's,rock
550,mastodon,00's,metal
551,steely dan,70's,rock
552,coil,00's,electronic
553,fka twigs,10's,pop
554,swans,80's,rock
555,ac/dc,70's,rock
556,death,90's,metal
557,rina sawayama,10's,pop
558,low,90's,rock
559,clipping.,10's,hip-hop
560,ulver,90's,metal
561,the doors,70's,rock
562,iron maiden,80's,metal
563,black sabbath,80's,metal
564,dream theater,90's,metal
565,parquet courts,10's,rock
566,kate bush,70's,pop
567,linkin park,00's,rock
568,aphex twin,10's,electronic
569,genesis,70's,rock
570,björk,00's,pop
571,c418,10's,electronic
572,prodigy,90's,electronic
573,red house painters,90's,rock
574,björk,10's,pop
575,judas priest,90's,metal
576,coldplay,00's,rock
577,fiona apple,10's,pop
578,the replacements,80's,rock
579,burzum,90's,metal
580,car seat headrest,10's,rock
581,tame impala,10's,rock
582,deltron 3030,00's,hip-hop
583,michael jackson,70's,pop
584,n.w.a,80's,hip-hop
585,comus,70's,folk
586,공중도둑 [mid-air thief],10's,rock
587,beastie boys,80's,hip-hop
588,beck,00's,rock
589,king gizzard & the lizard wizard,10's,rock
590,slowdive,90's,rock
591,iggy pop,70's,rock
592,black sabbath,70's,rock
593,kraftwerk,70's,electronic
594,pink floyd,70's,rock
595,childish gambino,10's,hip-hop
596,bob dylan,60's,folk
597,jefferson airplane,60's,rock
598,yes,70's,rock
599,boris,00's,rock
600,the knife,00's,electronic
601,metallica,90's,rock
602,opeth,90's,metal
603,rage against the machine,90's,metal
604,drake,10's,pop
605,death,90's,metal
606,godspeed you! black emperor,10's,rock
607,mogwai,90's,rock
608,u2,90's,rock
609,pj harvey,10's,rock
610,lauryn hill,90's,soul_funk
611,mos def,90's,hip-hop
612,creedence clearwater revival,70's,rock
613,ecco2k,10's,pop
614,vampire weekend,10's,pop
615,rage against the machine,90's,metal
616,opeth,00's,rock
617,slayer,90's,metal
618,snoop doggy dogg,90's,hip-hop
619,king crimson,70's,rock
620,clipping.,10's,hip-hop
621,david bowie,60's,rock
622,iron maiden,80's,metal
623,david bowie,70's,rock
624,janelle monáe,10's,pop
625,red hot chili peppers,00's,rock
626,pink floyd,80's,rock
627,wire,70's,rock
628,the cure,80's,rock
629,galaxie 500,80's,rock
630,jay-z,00's,soul_funk
631,oneohtrix point never,10's,electronic
632,kraftwerk,80's,electronic
633,iggy pop,70's,rock
634,the strokes,00's,rock
635,the microphones,10's,folk
636,swans,10's,rock
637,candy claws,10's,rock
638,modest mouse,90's,rock
639,david bowie,70's,rock
640,fiona apple,90's,rock
641,my chemical romance,00's,rock
642,angelo badalamenti,90's,jazz
643,the doors,60's,rock
644,amy winehouse,00's,pop
645,the avalanches,10's,rock
646,mitski,10's,rock
647,boredoms,90's,rock
648,deerhunter,00's,rock
649,tim hecker,10's,electronic
650,death cab for cutie,00's,rock
651,the weeknd,10's,pop
652,primal scream,90's,rock
653,the dave brubeck quartet,50's,jazz
654,guided by voices,90's,rock
655,brian eno,70's,rock
656,bruce springsteen,80's,folk
657,big black,80's,rock
658,deep purple,70's,rock
659,david bowie,80's,rock
660,pharoah sanders,60's,jazz
661,mr. bungle,90's,rock
662,of montreal,00's,rock
663,system of a down,00's,metal
664,a$ap rocky,10's,hip-hop
665,jay-z,90's,hip-hop
666,anderson .paak,10's,soul_funk
667,viktor vaughn,00's,hip-hop
668,blur,90's,rock
669,robert wyatt,70's,rock
670,king crimson,70's,rock
671,autechre,90's,electronic
672,built to spill,90's,rock
673,pj harvey,00's,rock
674,arctic monkeys,00's,rock
675,pearl jam,90's,rock
676,mayhem,90's,metal
677,miles davis,60's,jazz
678,isis,00's,metal
679,blur,90's,rock
680,lcd soundsystem,00's,rock
681,refused,90's,rock
682,bauhaus,80's,rock
683,slayer,80's,metal
684,pantera,90's,metal
685,glenn branca,80's,rock
686,pj harvey,90's,rock
687,boards of canada,00's,folk
688,jamie xx,10's,electronic
689,opeth,00's,metal
690,talk talk,80's,pop
691,alcest,00's,rock
692,blondie,70's,rock
693,foo fighters,90's,rock
694,bad brains,80's,rock
695,t. rex,70's,rock
696,faust,70's,rock
697,led zeppelin,70's,rock
698,xiu xiu,00's,electronic
699,tom waits,90's,rock
700,alvvays,10's,pop
701,tim hecker,10's,electronic
702,daft punk,00's,electronic
703,stereolab,90's,pop
704,sunny day real estate,90's,rock
705,drake,10's,pop
706,yo la tengo,00's,rock
707,bob dylan,70's,rock
708,d'angelo and the vanguard,10's,soul_funk
709,sza,10's,soul_funk
711,joanna newsom,10's,folk
712,alice in chains,90's,rock
713,crystal castles,10's,electronic
714,the postal service,00's,pop
715,the national,00's,rock
716,against all logic,10's,electronic
717,ornette coleman,50's,jazz
718,john lennon,70's,rock
719,tears for fears,80's,rock
720,camel,70's,rock
721,bon iver,10's,pop
722,sufjan stevens,00's,folk
723,2814,10's,electronic
724,u2,80's,rock
725,brockhampton,10's,pop
726,the roots,90's,jazz
727,the magnetic fields,90's,pop
728,dream theater,90's,metal
729,frank ocean,10's,pop
730,elvis costello,70's,rock
731,king krule,10's,rock
732,bright eyes,00's,folk
733,red hot chili peppers,00's,rock
734,darkthrone,90's,metal
735,injury reserve,10's,hip-hop
736,m.i.a.,00's,hip-hop
737,lingua ignota,10's,folk
738,nujabes,00's,jazz
739,prince,80's,rock
740,arctic monkeys,10's,rock
741,system of a down,00's,metal
742,nick cave & the bad seeds,10's,rock
743,magdalena bay,10's,pop
744,grouper,00's,folk
745,a silver mt. zion,00's,rock
746,pavement,90's,rock
747,van morrison,70's,rock
748,stan getz & joão gilberto featuring antônio carlos jobim,60's,jazz
749,pere ubu,70's,rock
750,sleep,00's,metal
751,jon hopkins,10's,electronic
752,stereolab,90's,pop
753,tom waits,70's,blues
754,king gizzard & the lizard wizard,10's,metal
755,giles corey,10's,rock
756,julia holter,10's,pop
757,the mothers of invention,60's,rock
758,青葉市子 [ichiko aoba],10's,folk
759,spellling,10's,pop
760,genesis,70's,rock
761,emperor,90's,metal
762,agalloch,00's,metal
763,grizzly bear,00's,pop
764,ariel pink,10's,pop
765,king crimson,70's,rock
766,eno,70's,rock
767,japanese breakfast,10's,pop
768,belle and sebastian,90's,pop
769,the rolling stones,60's,rock
770,the who,70's,rock
771,depeche mode,80's,electronic
772,lingua ignota,10's,electronic
773,the can,60's,rock
774,michael jackson,80's,pop
775,megadeth,90's,metal
776,van halen,70's,rock
777,soundgarden,90's,rock
778,earl sweatshirt,10's,hip-hop
779,slipknot,90's,metal
781,muse,00's,rock
782,jay-z,10's,hip-hop
783,the beatles,60's,rock
784,frank zappa,70's,rock
785,a tribe called quest,90's,jazz
786,taylor swift,10's,pop
787,outkast,00's,pop
788,clipping.,10's,hip-hop
789,motörhead,80's,rock
790,fishmans,90's,pop
791,travis scott,10's,pop
792,neil young,70's,rock
793,queens of the stone age,00's,rock
794,curtis mayfield,70's,soul_funk
795,new order,80's,electronic
796,eric dolphy,60's,jazz
797,father john misty,10's,folk
798,elliott smith,00's,pop
799,yves tumor,10's,rock
800,lana del rey,10's,rock
801,jeff rosenstock,10's,rock
802,xtc,80's,rock
803,battles,00's,rock
805,beyoncé,10's,pop
806,grouper,10's,electronic
807,muse,90's,rock
808,nick cave and the bad seeds,90's,rock
809,r.e.m.,90's,rock
810,death,80's,metal
811,nico,70's,folk
812,raekwon,90's,hip-hop
813,ween,00's,rock
814,ramones,70's,rock
815,lou reed,70's,rock
816,bob dylan,60's,rock
817,the pink floyd,60's,rock
818,andrew jackson jihad,00's,rock
819,queen,70's,rock
820,pantera,90's,metal
821,paul simon,80's,rock
822,weatherday,10's,rock
823,the strokes,10's,rock
824,wire,70's,rock
825,fugazi,00's,rock
826,sonic youth,90's,rock
827,danny brown,10's,hip-hop
828,porcupine tree,00's,rock
829,ariana grande,10's,pop
830,venetian snares,00's,electronic
831,alt-j,10's,pop
832,kali uchis,10's,soul_funk
833,gorillaz,10's,pop
834,ミドリ [midori],00's,rock
835,death,90's,metal
836,vince staples,10's,hip-hop
837,the modern lovers,70's,rock
838,fleet foxes,10's,folk
839,xiu xiu,10's,electronic
840,mazzy star,90's,rock
841,grimes,10's,pop
842,bruce springsteen,80's,rock
843,thom yorke,00's,pop
844,pj harvey,90's,rock
845,bark psychosis,90's,rock
846,dr. dre,90's,hip-hop
847,st. vincent,10's,rock
848,d'angelo,00's,soul_funk
850,tortoise,90's,rock
851,rush,70's,rock
852,lil ugly mane,10's,rock
853,darkthrone,90's,metal
854,gojira,00's,metal
855,judas priest,80's,metal
856,mastodon,00's,metal
857,syd barrett,70's,rock
858,genesis,70's,rock
859,kyuss,90's,rock
860,tool,10's,metal
861,blink-182,90's,rock
862,xxxtentacion,10's,rock
863,carly rae jepsen,10's,pop
864,nick cave and the bad seeds,80's,rock
865,beck,90's,rock
866,boards of canada,10's,electronic
867,olivia rodrigo,10's,pop
868,alice coltrane featuring pharoah sanders,70's,jazz
869,led zeppelin,70's,rock
870,pil,70's,rock
871,gorillaz,10's,electronic
872,red house painters,90's,rock
873,dio,80's,metal
874,porcupine tree,00's,rock
875,the caretaker,10's,electronic
876,soft machine,70's,rock
877,pixies,90's,rock
878,king geedorah,00's,hip-hop
879,the beach boys,70's,rock
880,weezer,10's,rock
881,mort garson,70's,pop
882,genesis owusu,10's,soul_funk
883,faith no more,80's,metal
884,drake,10's,pop
885,the brave little abacus,10's,rock
886,king krule,10's,rock
887,sly & the family stone,70's,soul_funk
888,melvins,90's,metal
889,paul & linda mccartneypaul mccartneylinda mccartney,70's,rock
890,bruce springsteen,70's,rock
891,siouxsie and the banshees,80's,rock
892,depeche mode,80's,electronic
893,scott engel,60's,pop
894,death,80's,metal
895,david bowie,10's,rock
896,mac demarco,10's,pop
897,common,00's,hip-hop
898,new order,80's,electronic
899,prince,80's,soul_funk
900,kate bush,80's,pop
901,serge gainsbourg,70's,pop
902,billie eilish,10's,pop
903,rainbow,70's,rock
904,mike oldfield,70's,rock
905,faust,70's,rock
906,fiona apple,90's,rock
907,korn,90's,metal
908,queens of the stone age,00's,rock
909,tim hecker,00's,electronic
910,autechre,90's,electronic
911,arctic monkeys,10's,rock
912,the war on drugs,10's,rock
913,alice in chains,90's,rock
914,thundercat,10's,soul_funk
915,joanna newsom,00's,folk
916,j. cole,10's,hip-hop
917,the who,60's,rock
918,st. vincent,10's,rock
919,morbid angel,80's,metal
920,william basinski,00's,electronic
921,cannibal ox,00's,hip-hop
922,eminem,10's,pop
923,roxy music,70's,rock
924,"tyler, the creator",00's,hip-hop
925,the chameleons,80's,rock
926,taylor swift,10's,electronic
927,bob dylan,60's,rock
928,the cars,70's,rock
929,sweet trip,10's,pop
930,oneohtrix point never,10's,electronic
931,bob dylan,60's,folk
932,de la soul,80's,hip-hop
933,the weeknd,10's,soul_funk
934,weezer,10's,rock
935,swans,80's,rock
936,elvis costello,70's,rock
937,have a nice life,10's,rock
938,king gizzard & the lizard wizard,10's,rock
939,brand new,00's,rock
940,nine inch nails,00's,rock
941,lcd soundsystem,10's,rock
942,drake,10's,pop
943,rush,80's,rock
944,neu!,70's,rock
945,eminem,10's,pop
946,wilco,90's,rock
947,bonnie 'prince' billy,90's,folk
948,a$ap rocky,10's,hip-hop
949,cure,90's,rock
950,queens of the stone age,90's,rock
951,cocteau twins,80's,rock
952,moby,90's,electronic
953,eminem,00's,pop
954,r.e.m.,80's,rock
955,drive like jehu,90's,rock
956,jay-z,00's,hip-hop
957,sonic-youth,80's,rock
