popular_albuns_rank,artist_band,decade,musical_genre,total_awards_nominations,uk number 1's,million_sales
185,lcd soundsystem,00's,rock,0,0,0
186,beach house,10's,pop,0,0,0
189,the who,70's,rock,2,0,0
191,brockhampton,10's,pop,0,0,0
192,denzel curry,10's,hip-hop,0,0,0
193,eno,70's,rock,0,0,0
195,neil young,70's,rock,27,0,0
197,alice in chains,90's,rock,0,0,0
198,playboi carti,10's,hip-hop,0,0,0
200,megadeth,90's,metal,0,0,0
201,fiona apple,10's,pop,0,0,0
202,mgmt,10's,rock,0,0,0
203,love,60's,rock,0,0,0
204,jay-z & kanye west,10's,pop,0,0,0
205,belle and sebastian,90's,pop,0,0,0
206,flying lotus,10's,electronic,0,0,0
207,oasis,90's,rock,0,0,0
208,freddie gibbs & madlib,10's,hip-hop,0,0,0
212,pavement,90's,rock,0,0,0
214,the stooges,70's,rock,0,0,0
216,charli xcx,10's,electronic,0,0,0
218,lou reed,70's,rock,0,0,0
219,genius/gza,90's,hip-hop,0,0,0
220,sweet trip,00's,rock,0,0,0
221,modest mouse,90's,rock,0,0,0
222,iron maiden,80's,metal,0,0,0
225,the stone roses,80's,rock,0,0,0
226,bon iver,00's,folk,0,0,0
228,deafheaven,10's,metal,0,0,0
229,fleet foxes,00's,folk,0,0,0
230,leonard cohen,60's,folk,0,0,0
232,prince and the revolution,80's,rock,0,0,0
233,eminem,00's,hip-hop,44,9,220
234,the white stripes,00's,rock,0,0,0
237,new order,80's,rock,0,0,0
238,travis scott,10's,hip-hop,0,0,0
247,run the jewels,10's,hip-hop,0,0,0
248,black midi,10's,rock,0,0,0
249,burzum,90's,metal,0,0,0
250,portishead,00's,rock,0,0,0
251,sophie,10's,electronic,0,0,0
253,outkast,90's,hip-hop,0,0,0
254,joanna newsom,00's,folk,0,0,0
255,the rolling stones,70's,rock,14,8,200
258,guns n' roses,80's,rock,3,0,100
259,deftones,00's,metal,0,0,0
261,wire,70's,rock,0,0,0
266,spiritualized®,90's,rock,0,0,0
270,the mars volta,00's,rock,0,0,0
271,green day,00's,rock,0,0,75
272,coldplay,00's,rock,0,0,100
273,captain beefheart & his magic band,60's,rock,0,0,0
274,at the drive-in,00's,rock,0,0,0
275,sex pistols,70's,rock,0,0,0
278,r.e.m.,90's,rock,13,0,85
280,kraftwerk,70's,electronic,0,0,0
281,queen,70's,rock,4,6,300
283,red hot chili peppers,90's,rock,0,0,120
286,the weeknd,10's,soul_funk,0,0,75
287,ac/dc,80's,rock,7,0,200
289,the zombies,60's,pop,0,0,0
291,lana del rey,10's,pop,0,0,0
