popular_ranking,artist_name,release_date,genre
457,pixies,1990,rock
458,tom waits,1983,rock
459,boris,2005,rock
460,charles mingus,1959,jazz
461,eminem,2002,hip-hop
462,john coltrane,1958,jazz
463,yves tumor,2020,rock
464,the killers,2004,rock
465,system of a down,1998,metal
466,dua lipa,2020,pop
467,captain beefheart and his magic band,1967,rock
468,the cure,1985,rock
469,dr. dre,1992,hip-hop
470,mac miller,2020,soul_funk
471,iron maiden,1988,metal
472,king crimson,1970,rock
473,system of a down,2005,metal
474,lil ugly mane,2012,hip-hop
475,this heat,1981,rock
476,lana del rey,2012,pop
477,vampire weekend,2013,pop
478,leonard cohen,1971,folk
479,big black,1987,rock
480,megadeth,1986,metal
481,unwound,2001,rock
482,boris,2003,rock
483,john coltrane,1961,jazz
484,nine inch nails,1999,rock
485,mastodon,2004,metal
486,neu!,1972,rock
487,the mothers of invention,1966,rock
488,파란노을 [parannoul],2021,rock
489,the xx,2009,pop
490,arcade fire,2013,rock
491,iron maiden,1983,metal
493,jethro tull,1972,rock
494,squid,2021,rock
495,pink floyd,1983,rock
496,jpegmafia,2021,hip-hop
497,rush,1976,rock
498,elliott smith,1995,folk
499,black flag,1981,rock
500,simon and garfunkel,1970,pop
501,john lennon / plastic ono band,1970,rock
502,run the jewels,2016,hip-hop
503,slowdive,1991,rock
504,jessie ware,2020,pop
505,little simz,2019,hip-hop
506,agalloch,2002,metal
507,sun kil moon,2014,folk
509,faith no more,1992,rock
510,the national,2010,rock
511,denzel curry,2016,hip-hop
512,sonic youth,1992,rock
513,hüsker dü,1984,rock
514,freddie gibbs & the alchemist,2020,hip-hop
515,interpol,2004,rock
516,death grips,2015,rock
517,lorde,2013,pop
518,the cure,1979,rock
519,silk sonic,2021,soul_funk
520,mobb deep,1995,hip-hop
521,aphex twin,1995,electronic
522,deftones,1997,metal
523,broken social scene,2002,rock
524,denzel curry,2019,hip-hop
525,coldplay,2008,rock
526,cream,1967,rock
527,explosions in the sky,2003,rock
528,the cure,1981,rock
529,mgmt,2010,rock
530,metallica,1996,rock
531,flying lotus,2014,jazz
532,pulp,1995,rock
533,weezer,2001,rock
534,the who,1969,rock
535,james blake,2011,pop
536,mac demarco,2012,pop
537,minutemen,1984,rock
538,sufjan stevens,2003,folk
539,metallica,2008,metal
540,swans,1995,rock
541,gorillaz,2017,pop
542,brockhampton,2019,pop
543,sweet trip,2009,pop
544,the microphones,2003,folk
545,kid cudi,2009,pop
546,devo,1978,rock
547,crystal castles,2008,electronic
548,porcupine tree,2002,rock
549,bloc party,2005,rock
550,mastodon,2009,metal
551,steely dan,1977,rock
552,coil,2005,electronic
553,fka twigs,2014,pop
554,swans,1987,rock
555,ac/dc,1979,rock
556,death,1991,metal
557,rina sawayama,2020,pop
558,low,1994,rock
559,clipping.,2020,hip-hop
560,ulver,1995,metal
561,the doors,1970,rock
562,iron maiden,1981,metal
563,black sabbath,1980,metal
564,dream theater,1992,metal
565,parquet courts,2018,rock
566,kate bush,1978,pop
567,linkin park,2003,rock
568,aphex twin,2014,electronic
569,genesis,1972,rock
570,björk,2004,pop
571,c418,2011,electronic
572,prodigy,1997,electronic
573,red house painters,1992,rock
574,björk,2015,pop
575,judas priest,1990,metal
576,coldplay,2005,rock
577,fiona apple,2012,pop
578,the replacements,1984,rock
579,burzum,1994,metal
580,car seat headrest,2011,rock
581,tame impala,2020,rock
582,deltron 3030,2000,hip-hop
583,michael jackson,1979,pop
584,n.w.a,1988,hip-hop
585,comus,1971,folk
586,공중도둑 [mid-air thief],2018,rock
587,beastie boys,1986,hip-hop
588,beck,2002,rock
589,king gizzard & the lizard wizard,2017,rock
590,slowdive,1995,rock
591,iggy pop,1977,rock
592,black sabbath,1975,rock
593,kraftwerk,1974,electronic
594,pink floyd,1972,rock
595,childish gambino,2013,hip-hop
596,bob dylan,1964,folk
597,jefferson airplane,1967,rock
598,yes,1971,rock
599,boris,2000,rock
600,the knife,2006,electronic
601,metallica,1997,rock
602,opeth,1999,metal
603,rage against the machine,1999,metal
604,drake,2011,pop
605,death,1998,metal
606,godspeed you! black emperor,2021,rock
607,mogwai,1997,rock
608,u2,1991,rock
609,pj harvey,2011,rock
610,lauryn hill,1998,soul_funk
611,mos def,1999,hip-hop
612,creedence clearwater revival,1970,rock
613,ecco2k,2019,pop
614,vampire weekend,2010,pop
615,rage against the machine,1996,metal
616,opeth,2003,rock
617,slayer,1990,metal
618,snoop doggy dogg,1993,hip-hop
619,king crimson,1970,rock
620,clipping.,2019,hip-hop
621,david bowie,1969,rock
622,iron maiden,1986,metal
623,david bowie,1979,rock
624,janelle monáe,2010,pop
625,red hot chili peppers,2002,rock
626,pink floyd,1987,rock
627,wire,1978,rock
628,the cure,1987,rock
629,galaxie 500,1989,rock
630,jay-z,2001,soul_funk
631,oneohtrix point never,2013,electronic
632,kraftwerk,1981,electronic
633,iggy pop,1977,rock
634,the strokes,2005,rock
635,the microphones,2020,folk
636,swans,2016,rock
637,candy claws,2013,rock
638,modest mouse,1996,rock
639,david bowie,1975,rock
640,fiona apple,1999,rock
641,my chemical romance,2004,rock
642,angelo badalamenti,1990,jazz
643,the doors,1968,rock
644,amy winehouse,2006,pop
645,the avalanches,2016,rock
646,mitski,2018,rock
647,boredoms,1999,rock
648,deerhunter,2008,rock
649,tim hecker,2011,electronic
650,death cab for cutie,2003,rock
651,the weeknd,2022,pop
652,primal scream,1991,rock
653,the dave brubeck quartet,1959,jazz
654,guided by voices,1994,rock
655,brian eno,1977,rock
656,bruce springsteen,1982,folk
657,big black,1986,rock
658,deep purple,1970,rock
659,david bowie,1983,rock
660,pharoah sanders,1969,jazz
661,mr. bungle,1999,rock
662,of montreal,2007,rock
663,system of a down,2005,metal
664,a$ap rocky,2013,hip-hop
665,jay-z,1996,hip-hop
666,anderson .paak,2016,soul_funk
667,viktor vaughn,2003,hip-hop
668,blur,1999,rock
669,robert wyatt,1974,rock
670,king crimson,1971,rock
671,autechre,1995,electronic
672,built to spill,1999,rock
673,pj harvey,2000,rock
674,arctic monkeys,2009,rock
675,pearl jam,1993,rock
676,mayhem,1994,metal
677,miles davis,1960,jazz
678,isis,2004,metal
679,blur,1997,rock
680,lcd soundsystem,2005,rock
681,refused,1998,rock
682,bauhaus,1980,rock
683,slayer,1988,metal
684,pantera,1992,metal
685,glenn branca,1981,rock
686,pj harvey,1995,rock
687,boards of canada,2005,folk
688,jamie xx,2015,electronic
689,opeth,2005,metal
690,talk talk,1986,pop
691,alcest,2007,rock
692,blondie,1978,rock
693,foo fighters,1997,rock
694,bad brains,1982,rock
695,t. rex,1971,rock
696,faust,1973,rock
697,led zeppelin,1976,rock
698,xiu xiu,2003,electronic
699,tom waits,1992,rock
700,alvvays,2017,pop
701,tim hecker,2013,electronic
702,daft punk,2005,electronic
703,stereolab,1997,pop
704,sunny day real estate,1994,rock
705,drake,2013,pop
706,yo la tengo,2000,rock
707,bob dylan,1976,rock
708,d'angelo and the vanguard,2014,soul_funk
709,sza,2017,soul_funk
711,joanna newsom,2010,folk
712,alice in chains,1990,rock
713,crystal castles,2010,electronic
714,the postal service,2003,pop
715,the national,2005,rock
716,against all logic,2020,electronic
717,ornette coleman,1959,jazz
718,john lennon,1971,rock
719,tears for fears,1985,rock
720,camel,1974,rock
721,bon iver,2016,pop
722,sufjan stevens,2004,folk
723,2814,2015,electronic
724,u2,1983,rock
725,brockhampton,2021,pop
726,the roots,1999,jazz
727,the magnetic fields,1999,pop
728,dream theater,1999,metal
729,frank ocean,2018,pop
730,elvis costello,1978,rock
731,king krule,2017,rock
732,bright eyes,2005,folk
733,red hot chili peppers,2006,rock
734,darkthrone,1992,metal
735,injury reserve,2019,hip-hop
736,m.i.a.,2007,hip-hop
737,lingua ignota,2021,folk
738,nujabes,2005,jazz
739,prince,1987,rock
740,arctic monkeys,2018,rock
741,system of a down,2002,metal
742,nick cave & the bad seeds,2016,rock
743,magdalena bay,2021,pop
744,grouper,2008,folk
745,a silver mt. zion,2000,rock
746,pavement,1995,rock
747,van morrison,1970,rock
748,stan getz & joão gilberto featuring antônio carlos jobim,1964,jazz
749,pere ubu,1978,rock
750,sleep,2003,metal
751,jon hopkins,2013,electronic
752,stereolab,1996,pop
753,tom waits,1973,blues
754,king gizzard & the lizard wizard,2019,metal
755,giles corey,2011,rock
756,julia holter,2015,pop
757,the mothers of invention,1968,rock
758,青葉市子 [ichiko aoba],2020,folk
759,spellling,2021,pop
760,genesis,1974,rock
761,emperor,1994,metal
762,agalloch,2006,metal
763,grizzly bear,2009,pop
764,ariel pink,2014,pop
765,king crimson,1974,rock
766,eno,1974,rock
767,japanese breakfast,2021,pop
768,belle and sebastian,1996,pop
769,the rolling stones,1966,rock
770,the who,1973,rock
771,depeche mode,1987,electronic
772,lingua ignota,2019,electronic
773,the can,1969,rock
774,michael jackson,1987,pop
775,megadeth,1992,metal
776,van halen,1978,rock
777,soundgarden,1991,rock
778,earl sweatshirt,2022,hip-hop
779,slipknot,1999,metal
781,muse,2009,rock
782,jay-z,2017,hip-hop
783,the beatles,1969,rock
784,frank zappa,1974,rock
785,a tribe called quest,1990,jazz
786,taylor swift,2020,pop
787,outkast,2003,pop
788,clipping.,2014,hip-hop
789,motörhead,1980,rock
790,fishmans,1997,pop
791,travis scott,2016,pop
792,neil young,1975,rock
793,queens of the stone age,2005,rock
794,curtis mayfield,1972,soul_funk
795,new order,1985,electronic
796,eric dolphy,1964,jazz
797,father john misty,2015,folk
798,elliott smith,2000,pop
799,yves tumor,2018,rock
800,lana del rey,2014,rock
801,jeff rosenstock,2016,rock
802,xtc,1986,rock
803,battles,2007,rock
805,beyoncé,2016,pop
806,grouper,2011,electronic
807,muse,1999,rock
808,nick cave and the bad seeds,1996,rock
809,r.e.m.,1991,rock
810,death,1988,metal
811,nico,1970,folk
812,raekwon,1995,hip-hop
