artist_name,year,popularity,genre
outkast,2003,66,pop
girls aloud,2004,59,pop
jessica simpson,2003,57,pop
eminem,2004,48,hip-hop
gary jules,2001,65,pop
ashlee simpson,2004,56,pop
will young,2003,55,pop
alicia keys,2003,61,pop
mariah carey,2005,69,pop
mario,2004,72,pop
kanye west,2005,78,hip-hop
rihanna,2005,77,pop
50 cent,2005,79,pop
james blunt,2005,75,pop
green day,2004,72,rock
the pussycat dolls,2005,72,pop
daniel powter,2005,74,pop
akon,2004,28,pop
madonna,2005,74,pop
50 cent,2005,76,pop
crazy frog,2005,67,pop
eminem,2004,52,hip-hop
sean paul,2005,59,pop
gwen stefani,2004,68,pop
the chemical brothers,2005,63,electronic
fort minor,2005,73,rock
50 cent,2005,72,pop
the game,2005,74,pop
chris brown,2005,71,pop
mariah carey,2005,0,pop
black eyed peas,2005,67,pop
ciara,2004,61,pop
50 cent,2005,60,pop
baby bash,2005,4,pop
jennifer lopez,2005,65,pop
jay-z,2004,76,hip-hop
the game,2005,77,pop
gorillaz,2005,82,hip-hop
black eyed peas,2005,62,pop
akon,2004,21,pop
bodyrockers,2005,54,rock
sugababes,2005,64,pop
jeezy,2005,55,pop
eminem,2004,77,hip-hop
shakira,2005,72,pop
gorillaz,2005,73,hip-hop
snoop dogg,2004,54,pop
robbie williams,2005,58,rock
david banner,2005,52,pop
trillville,2004,50,pop
d4l,2005,63,pop
missy elliott,2005,67,pop
rob thomas,2005,56,pop
pop,Pop,Pop,pop
bobby v.,2005,65,pop
backstreet boys,2005,63,pop
pretty ricky,2005,63,pop
kanye west,2005,61,hip-hop
snoop dogg,2004,39,pop
fat joe,2005,41,pop
destiny's child,2004,63,pop
ciara,2005,52,pop
amerie,2008,52,pop
ludacris,2004,59,pop
franz ferdinand,2005,61,rock
natalie imbruglia,2005,52,pop
gwen stefani,2004,69,pop
pretty ricky,2005,59,pop
thirty seconds to mars,2005,74,rock
alicia keys,2003,50,pop
2pac,2004,68,hip-hop
craig david,2005,56,pop
katie melua,2005,60,pop
lil jon & the east side boyz,2004,66,pop
mariah carey,2005,0,pop
ying yang twins,2005,57,pop
will smith,2020,34,pop
bow wow,2005,66,pop
kaiser chiefs,2005,58,rock
kelly clarkson,2004,59,pop
black eyed peas,2005,61,pop
westlife,2005,1,pop
ray j,2005,62,pop
papa roach,2004,60,rock
arctic monkeys,2006,71,rock
shayne ward,2006,1,pop
bow wow,2005,62,pop
kaiser chiefs,2005,63,rock
usher,2004,61,pop
kelly clarkson,2004,71,pop
3 doors down,2012,52,rock
nickelback,2005,67,rock
t-pain,2005,0,pop
destiny's child,2004,58,pop
the pussycat dolls,2005,67,pop
ryan cabrera,2004,62,pop
stereophonics,2005,69,rock
eminem,2004,67,hip-hop
nelly,2004,61,pop
coldplay,2005,69,rock
kt tunstall,2005,71,pop
destiny's child,2004,55,pop
kelly clarkson,2004,71,pop
u2,2004,56,rock
the all-american rejects,2005,65,rock
toby keith,2005,67,country
gwen stefani,2004,59,pop
foo fighters,2005,76,rock
shakira,2005,82,pop
sean paul,2005,78,pop
justin timberlake,2006,78,pop
beyoncé,2007,70,pop
amy winehouse,2006,71,soul
rihanna,2006,73,pop
gnarls barkley,2006,74,soul
busta rhymes,2006,61,pop
nelly furtado,2006,79,pop
bob sinclar,2006,69,pop
diddy,2006,55,pop
madonna,2005,61,pop
chamillionaire,2005,71,pop
black eyed peas,2005,75,pop
nelly furtado,2006,82,pop
fedde le grand,2015,39,pop
sean paul,2006,58,pop
the pussycat dolls,2005,68,pop
ciara,2006,59,pop
eminem,2005,74,hip-hop
cherish,2006,65,pop
muse,2006,75,rock
chris brown,2005,63,pop
infernal,2004,57,pop
cassie,2006,73,pop
e-40,2006,63,pop
the pussycat dolls,2005,57,pop
lil jon,2006,67,pop
armand van helden,2006,40,pop
the notorious b.i.g.,2005,68,hip-hop
yung joc,2006,66,pop
shayne ward,2006,1,pop
justin timberlake,2006,72,pop
nickelback,2005,65,rock
nelly,2005,60,pop
take that,2006,64,pop
fergie,2006,57,pop
cascada,2011,0,pop
d4l,2005,63,pop
ll cool j,2006,42,pop
beyoncé,2007,57,pop
p!nk,2006,0,pop
eminem,2005,68,hip-hop
kelis,2006,50,pop
bob sinclar,2005,49,pop
pop,Pop,Pop,pop
mary j. blige,2005,69,pop
