artist_name,genre,year,popularity
norah jones,Adult Standards,2004,71
deep purple,Rock,2000,39
gorillaz,Hip-Hop,2001,69
foo fighters,Metal,2007,76
bruce springsteen,Rock,2002,59
city to city,Rock,2004,45
maroon 5,Pop,2002,74
muse,Rock,2006,69
the killers,Rock,2004,77
eminem,Hip-Hop,2002,82
elvis presley,Adult Standards,2002,49
the white stripes,Rock,2003,74
de dijk,Rock,2000,34
ten years after,Rock,2005,26
arctic monkeys,Rock,2007,66
paul de leeuw,Dutch Cabaret,2006,48
coldplay,Rock,2005,69
alanis morissette,Rock,2005,57
john miles,Pop,2004,46
justin timberlake,Pop,2002,74
coldplay,Rock,2005,81
mumford & sons,Rock,2009,67
jan smit,Pop,2006,55
the killers,Rock,2004,69
bløf,Pop,2002,16
ilse delange,Dutch Americana,2008,50
editors,Alternative Dance,2007,56
eminem,Hip-Hop,2002,71
herbert grönemeyer,Pop,2008,48
youssou n'dour,Pop,2004,59
coldplay,Rock,2002,84
robert plant,Rock,2007,57
adele,Soul,2008,63
norah jones,Adult Standards,2002,74
amy winehouse,Soul,2006,72
sandy coast,Pop,2009,44
the goo goo dolls,Rock,2007,75
u2,Rock,2006,40
foo fighters,Metal,2002,72
guus meeuwis,Pop,2005,42
santa esmeralda,Funk,2003,59
tiësto,Electronic,2009,53
franz ferdinand,Rock,2004,74
green day,Rock,2004,78
linkin park,Metal,2003,65
robbie williams,Pop,2002,56
lou reed,Rock,2008,43
snow patrol,Rock,2004,65
barry white,Adult Standards,2009,67
saybia,Rock,2005,51
pearl jam,Rock,2009,69
bløf,Pop,2000,52
james blunt,Neo Mellow,2005,69
metallica,Metal,2008,52
christina aguilera,Pop,2006,67
elbow,Rock,2009,43
u2,Rock,2004,57
beyoncé,Pop,2006,44
backstreet boys,Pop,2001,77
golden earring,Rock,2008,38
rowwen hèze,Carnaval Limburg,2005,32
johnny cash,Country,2000,47
doe maar,Dutch Cabaret,2008,48
manu chao,Rock,2001,70
3 doors down,Metal,2000,77
seal,Soul,2004,63
p!nk,Pop,2001,56
status quo,Rock,2002,59
saybia,Rock,2004,55
stereophonics,Rock,2003,64
adele,Soul,2008,73
queens of the stone age,Metal,2002,65
peter sarstedt,Folk,2008,58
the dubliners,Celtic,2008,46
mumford & sons,Rock,2009,67
michael jackson,Pop,2003,55
jacques brel,Chanson,2004,58
volbeat,Metal,2007,57
marco borsato,Dutch Cabaret,2006,30
elbow,Rock,2009,45
spinvis,Rock,2002,45
twarres,Pop,2001,48
enya,Celtic,2000,70
blue,Pop,2004,58
the offspring,Metal,2005,72
bløf,Pop,2006,42
anouk,Rock,2007,42
claw boys claw,Rock,2007,43
david bowie,Rock,2002,43
foo fighters,Metal,2002,65
boudewijn de groot,Rock,2007,19
the proclaimers,Rock,2003,74
marco borsato,Dutch Cabaret,2006,49
bløf,Pop,2002,41
rowwen hèze,Carnaval Limburg,2008,32
green day,Rock,2009,75
mark ronson,Pop,2007,62
gé reinders,Carnaval Limburg,2005,38
marco borsato,Dutch Cabaret,2002,30
manic street preachers,Rock,2002,39
linkin park,Metal,2000,83
herbert grönemeyer,Pop,2008,44
anouk,Rock,2004,56
bruce springsteen,Rock,2003,40
veldhuis & kemper,Dutch Cabaret,2003,58
alicia keys,Pop,2009,75
jay-z,Hip-Hop,2004,75
armand,Rock,2009,47
kid rock,Metal,2007,72
jeff wayne,Pop,2007,41
john mayer,Neo Mellow,2006,74
keane,Rock,2004,54
the fray,Rock,2005,80
andre hazes,Pop,2002,59
eminem,Hip-Hop,2005,77
santana,Rock,2007,59
muse,Rock,2001,51
daft punk,Electronic,2001,71
kings of leon,Rock,2008,76
the temper trap,Alternative Dance,2009,64
beyoncé,Pop,2008,70
john farnham,Pop,2008,62
ios,Pop,2009,39
the bangles,Rock,2004,70
the temptations,Adult Standards,2001,44
beyoncé,Pop,2003,75
foo fighters,Metal,2005,75
john mayer,Neo Mellow,2003,68
bram vermeulen,Rock,2006,42
editors,Alternative Dance,2009,56
enigma,Electronic,2001,58
maarten van roozendaal,Rock,2001,36
amy winehouse,Soul,2006,67
marco borsato,Dutch Cabaret,2002,52
tenacious d,Metal,2001,59
amy winehouse,Soul,2006,74
coldplay,Rock,2005,63
pat benatar,Rock,2001,54
michael bublé,Adult Standards,2005,64
rammstein,Metal,2001,60
the black eyed peas,Pop,2009,69
the cult,Rock,2000,63
normaal,Rock,2008,42
ub40,Reggae,2000,74
elvis presley,Adult Standards,2002,64
racoon,Rock,2005,43
neil young,Rock,2004,44
de poema's,Pop,2003,54
the beatles,British Invasion,2000,75
santana,Rock,2007,62
snow patrol,Rock,2006,49
nightwish,Metal,2004,38
rufus wainwright,Pop,2007,38
doe maar,Dutch Cabaret,2008,44
fish,Rock,2008,44
coldplay,Rock,2002,64
john mayer,Neo Mellow,2009,66
mark knopfler,Rock,2005,39
counting crows,Rock,2004,59
the weather girls,Funk,2008,58
anouk,Rock,2004,52
billy joel,Rock,2001,46
mike oldfield,Rock,2009,64
ramses shaffy,Dutch Cabaret,2006,41
muse,Rock,2009,76
evanescence,Metal,2003,74
racoon,Rock,2005,41
michael bublé,Adult Standards,2007,73
plain white t's,Neo Mellow,2005,80
marco borsato,Dutch Cabaret,2002,50
yann tiersen,Pop,2001,56
krezip,Rock,2009,56
the script,Rock,2008,64
john mayer,Neo Mellow,2008,75
beyoncé,Pop,2008,78
de jeugd van tegenwoordig,Hip-Hop,2008,46
bløf,Pop,2000,40
within temptation,Metal,2003,47
golden earring,Rock,2008,50
neil young,Rock,2004,49
alain clark,Pop,2007,35
bill medley,Rock,2004,70
damien rice,Pop,2003,56
u2,Rock,2009,44
jamiroquai,Jazz,2006,69
doe maar,Dutch Cabaret,2008,49
queens of the stone age,Metal,2002,58
golden earrings,Rock,2008,26
muse,Rock,2001,53
gossip,Alternative Dance,2009,59
doe maar,Dutch Cabaret,2008,39
blondie,Pop,2006,52
eminem,Hip-Hop,2000,80
u2,Rock,2000,52
johan,Rock,2001,36
michel sardou,Chanson,2004,59
daniël lohues,Rock,2008,39
muse,Rock,2006,73
stereophonics,Rock,2005,68
sarah brightman,Pop,2006,59
coldplay,Rock,2002,63
delerium,Electronic,2004,58
acda en de munnik,Dutch Cabaret,2000,51
muse,Rock,2006,73
nick & simon,Pop,2007,59
doe maar,Dutch Cabaret,2008,49
golden earring,Rock,2008,34
tom petty and the heartbreakers,Rock,2008,72
normaal,Rock,2008,52
eddie vedder,Rock,2007,67
dido,Pop,2003,54
tavares,Adult Standards,2004,49
green day,Rock,2004,77
red hot chili peppers,Rock,2002,80
chris rea,Rock,2007,80
rammstein,Metal,2001,51
doe maar,Dutch Cabaret,2008,41
the scene,Rock,2007,47
bee gees,Adult Standards,2001,47
eminem,Hip-Hop,2000,75
christina aguilera,Pop,2002,71
john mayer,Neo Mellow,2006,75
beth hart,Rock,2009,32
kayak,Rock,2009,32
foo fighters,Metal,2009,69
3 doors down,Metal,2002,75
mary j. blige,Pop,2005,61
de poema's,Pop,2003,45
gary jules,Neo Mellow,2002,70
doe maar,Dutch Cabaret,2008,53
michael bublé,Adult Standards,2005,64
10cc,Rock,2004,46
blur,Rock,2000,64
krezip,Rock,2000,55
billy joel,Rock,2001,70
owl city,Pop,2009,79
anouk,Rock,2004,51
wolfmother,Rock,2006,62
the black eyed peas,Pop,2003,66
coldplay,Rock,2000,82
amy macdonald,Scottish Singer-Songwriter,2007,41
chris isaak,Rock,2006,70
the script,Rock,2008,74
k's choice,Pop,2009,43
ilse delange,Dutch Americana,2008,54
amy macdonald,Scottish Singer-Songwriter,2007,30
michael jackson,Pop,2005,53
rowwen hèze,Carnaval Limburg,2003,33
kim wilde,Pop,2006,51
amy winehouse,Soul,2006,77
marco borsato,Dutch Cabaret,2008,57
focus,Rock,2001,53
herbert grönemeyer,Pop,2008,47
coldplay,Rock,2002,57
muse,Rock,2004,69
kane,Pop,2003,47
blondie,Pop,2006,42
adele,Soul,2008,59
paul mccartney,Rock,2003,60
ilse delange,Dutch Americana,2000,30
acda en de munnik,Dutch Cabaret,2002,43
coldplay,Rock,2002,70
linkin park,Metal,2003,81
john mayer,Neo Mellow,2006,76
jay-z,Hip-Hop,2009,77
train,Pop,2001,77
bløf,Pop,2003,46
sam cooke,Adult Standards,2000,71
womack & womack,Funk,2001,61
bruce springsteen,Rock,2002,53
red hot chili peppers,Rock,2006,80
anouk,Rock,2007,46
john legend,Neo Mellow,2005,69
the scene,Rock,2007,50
spandau ballet,Rock,2000,66
lionel richie,Adult Standards,2003,64
phil collins,Rock,2002,62
u2,Rock,2004,60
editors,Alternative Dance,2005,61
outkast,Hip-Hop,2003,79
eurythmics,Pop,2005,40
alderliefste met ramses shaffy en liesbeth list,Pop,2005,43
de jeugd van tegenwoordig,Hip-Hop,2008,55
robbie williams,Pop,2002,72
the rolling stones,Rock,2004,34
madonna,Pop,2009,66
chi coltrane,Rock,2009,40
system of a down,Metal,2001,80
kyteman,Rock,2009,47
michael jackson,Pop,2005,64
snow patrol,Rock,2006,42
alanis morissette,Rock,2005,62
arctic monkeys,Rock,2006,58
johnny cash,Country,2002,75
madonna,Pop,2009,66
beyoncé,Pop,2008,68
mud,Pop,2005,40
alderliefste,Pop,2008,38
darude,Electronic,2007,61
robert cray,Blues,2002,52
neet oét lottum,Carnaval Limburg,2004,39
madonna,Pop,2009,71
status quo,Rock,2005,47
chris isaak,Rock,2006,42
p!nk,Pop,2009,43
toontje lager,Rock,2008,53
the killers,Rock,2008,73
the beatles,British Invasion,2000,63
joni mitchell,Folk,2000,65
faithless,Electronic,2005,57
coldplay,Rock,2008,78
mgmt,Alternative Dance,2007,76
keane,Rock,2004,43
the beatles,British Invasion,2000,63
muse,Rock,2004,57
stevie wonder,Adult Standards,2002,77
u2,Rock,2004,65
red hot chili peppers,Rock,2002,74
the beatles,British Invasion,2006,63
rowwen hèze,Carnaval Limburg,2005,35
guus meeuwis,Pop,2006,54
stealers wheel,Rock,2009,72
acda en de munnik,Dutch Cabaret,2005,57
coldplay,Rock,2008,61
florence + the machine,Pop,2009,69
u2,Rock,2000,63
peter schilling,Pop,2005,48
editors,Alternative Dance,2007,53
coldplay,Rock,2008,53
mark knopfler,Rock,2000,43
new order,Rock,2005,73
limp bizkit,Metal,2003,72
amy winehouse,Soul,2006,74
snowy white,Rock,2003,52
jason mraz,Pop,2008,82
abel,Rock,2000,59
sammy davis jr.,Adult Standards,2002,56
natasha bedingfield,Pop,2004,76
muse,Rock,2009,63
keane,Rock,2004,41
gorki,Rock,2002,52
alanis morissette,Rock,2005,52
live,Metal,2001,49
within temptation,Metal,2004,56
snow patrol,Rock,2006,78
red hot chili peppers,Rock,2006,76
massive attack,Electronic,2006,53
katie melua,Pop,2005,61
james blunt,Neo Mellow,2005,76
bon jovi,Metal,2000,77
coldplay,Rock,2002,62
bløf,Pop,2002,40
de kast,Pop,2004,38
kings of leon,Rock,2008,79
lisa lois,Pop,2009,49
keane,Rock,2004,67
simply red,Soul,2004,55
nickelback,Metal,2001,78
ronan keating,Pop,2000,74
eddie vedder,Rock,2007,66
simple minds,Rock,2008,43
gorillaz,Hip-Hop,2005,80
bløf,Pop,2007,36
anouk,Rock,2004,40
robbie williams,Pop,2001,58
guus meeuwis,Pop,2007,50
arctic monkeys,Rock,2006,57
madonna,Pop,2009,55
editors,Alternative Dance,2007,43
lady gaga,Pop,2008,69
coldplay,Rock,2008,47
johnny cash,Country,2000,47
kaiser chiefs,Rock,2007,62
lange frans,Hip-Hop,2005,49
lady gaga,Pop,2009,79
u2,Rock,2000,49
coldplay,Rock,2000,71
rowwen hèze,Carnaval Limburg,2005,33
ram jam,Rock,2005,61
novastar,Rock,2000,48
herman brood & his wild romance,Rock,2001,41
muse,Rock,2009,65
rowwen hèze,Carnaval Limburg,2005,34
van dik hout,Dutch Cabaret,2009,34
guus meeuwis,Pop,2002,61
within temptation,Metal,2003,45
daft punk,Electronic,2001,75
elvis presley,Adult Standards,2002,65
spandau ballet,Rock,2008,72
queens of the stone age,Metal,2007,59
evanescence,Metal,2003,78
coldplay,Rock,2002,76
white lies,Alternative Dance,2009,54
muse,Rock,2001,46
nick & simon,Pop,2007,48
damien rice,Pop,2006,57
bruce springsteen,Rock,2009,48
ike & tina turner,Pop,2008,56
band aid,Electronic,2004,84
2pac,Funk,2007,72
claudia de breij,Dutch Cabaret,2010,53
de jeugd van tegenwoordig,Hip-Hop,2010,48
joy division,Rock,2010,64
de dijk,Rock,2010,43
anita meyer,Pop,2010,54
charly lownoise,Happy Hardcore,2010,37
guus meeuwis,Pop,2010,57
racoon,Rock,2010,27
triggerfinger,Rock,2010,42
racoon,Rock,2010,26
racoon,Rock,2010,36
"emerson, lake & palmer",Rock,2010,14
stromae,Pop,2010,61
jeff wayne,Pop,2010,28
caro emerald,Pop,2010,40
p!nk,Pop,2010,76
matthias reim,Pop,2010,38
coldplay,Rock,2010,84
cock robin,Rock,2010,48
golden earring,Rock,2010,37
di-rect,Rock,2010,47
guus meeuwis,Pop,2010,49
bruno mars,Pop,2010,80
lady antebellum,Country,2010,53
rihanna,Pop,2010,59
kings of leon,Rock,2010,66
roy orbison,Adult Standards,2010,44
joy division,Rock,2010,51
bruno mars,Pop,2010,75
party animals,Electronic,2010,47
kings of leon,Rock,2010,58
agnes obel,Pop,2010,48
solomon burke,Pop,2010,38
adele,Soul,2011,79
adele,Soul,2011,75
dj paul elstak,Electronic,2011,60
avicii,Electronic,2011,58
gotye,Pop,2011,76
coldplay,Rock,2011,78
marco borsato,Dutch Cabaret,2011,53
johnny cash,Country,2011,18
scorpions,Rock,2011,72
the black keys,Rock,2011,65
foo fighters,Metal,2011,69
ed sheeran,Pop,2011,76
spinvis,Rock,2011,47
daniël lohues,Rock,2011,42
elbow,Rock,2011,29
david guetta,Pop,2011,67
within temptation,Metal,2011,53
the black keys,Rock,2011,73
adele,Soul,2011,66
dj paul,Electronic,2011,51
de dijk,Rock,2011,30
sniff 'n' the tears,Pop,2011,54
lange frans,Hip-Hop,2011,52
coldplay,Rock,2011,68
marco borsato,Dutch Cabaret,2011,40
jacques brel,Chanson,2011,33
adele,Soul,2011,65
ben howard,British Singer-Songwriter,2011,66
foster the people,Pop,2011,84
jonathan jeremiah,Rock,2011,49
ed sheeran,Pop,2011,73
the black keys,Rock,2011,69
jay-z,Hip-Hop,2011,77
beyoncé,Pop,2011,75
road band,Pop,2011,33
beyoncé,Pop,2011,76
ed sheeran,Pop,2011,71
birdy,Neo Mellow,2011,75
joe bonamassa,Rock,2011,44
kane,Pop,2011,39
foo fighters,Metal,2011,64
inxs,Rock,2011,42
maggie macneal,Pop,2011,39
ray charles,Adult Standards,2011,49
coldplay,Rock,2011,67
golden earring,Rock,2011,27
adele,Soul,2012,74
bløf,Pop,2012,54
counting crows,Rock,2012,56
imagine dragons,Rock,2012,73
lana del rey,Pop,2012,55
imagine dragons,Rock,2012,73
elvis costello,Rock,2012,64
p!nk,Pop,2012,81
p!nk,Pop,2012,73
mumford & sons,Rock,2012,69
kensington,Pop,2012,44
mike oldfield,Rock,2012,31
tori amos,Pop,2012,19
andre hazes,Pop,2012,42
bløf,Pop,2012,51
muse,Rock,2012,70
keane,Rock,2012,51
macklemore & ryan lewis,Pop,2012,83
mumford & sons,Rock,2012,57
johnny cash,Country,2012,27
imagine dragons,Rock,2012,66
youp van 't hek,Dutch Cabaret,2012,52
michael kiwanuka,Soul,2012,51
the script,Rock,2012,51
the script,Rock,2012,70
drs. p,Rock,2012,34
bruno mars,Pop,2012,82
jason mraz,Pop,2012,72
the opposites,Hip-Hop,2012,57
whitney houston,Pop,2012,54
bløf,Pop,2012,41
mumford & sons,Rock,2012,57
mumford & sons,Rock,2012,58
xavier rudd,Folk,2012,67
bløf,Pop,2012,48
emeli sandé,Pop,2012,46
rihanna,Pop,2012,66
rihanna,Pop,2012,67
imagine dragons,Rock,2012,66
of monsters and men,Pop,2012,75
loreen,Pop,2012,56
racoon,Rock,2013,63
volbeat,Metal,2013,57
avicii,Electronic,2013,85
stromae,Pop,2013,49
arctic monkeys,Rock,2013,82
tom odell,Rock,2013,58
avicii,Electronic,2013,78
ed sheeran,Pop,2013,64
armin van buuren,Electronic,2013,65
john legend,Neo Mellow,2013,86
de dijk,Rock,2013,40
de staat,Rock,2013,47
the boxer rebellion,Pop,2013,35
passenger,Pop,2013,76
stromae,Pop,2013,55
london grammar,Pop,2013,49
derek & the dominos,Rock,2013,32
bastille,Pop,2013,70
mr. probz,Hip-Hop,2013,59
daft punk,Electronic,2013,77
kodaline,Pop,2013,72
avicii,Electronic,2013,69
martin garrix,Electronic,2013,65
snow patrol,Rock,2013,48
3js,Pop,2013,36
paul kalkbrenner,Electronic,2013,67
eminem,Hip-Hop,2013,75
justin timberlake,Pop,2013,77
one direction,Pop,2013,80
lorde,Pop,2013,79
stromae,Pop,2013,53
de dijk,Rock,2013,33
herman brood & his wild romance,Rock,2013,28
queens of the stone age,Metal,2013,66
backstreet boys,Pop,2013,62
editors,Alternative Dance,2013,26
jewel,Alaska Indie,2013,41
tom odell,Rock,2013,49
bastille,Pop,2013,48
robin thicke,Pop,2013,76
robbie williams,Pop,2013,30
paolo nutini,Soul,2014,49
coldplay,Rock,2014,78
adele,Soul,2014,61
kensington,Pop,2014,57
ed sheeran,Pop,2014,84
hozier,Irish Singer-Songwriter,2014,77
michel fugain,Chanson,2014,40
chef'special,Rock,2014,60
underworld,Alternative Dance,2014,65
kensington,Pop,2014,59
daniël lohues,Rock,2014,27
pharrell williams,Pop,2014,80
the common linnets,Dutch Americana,2014,52
kensington,Pop,2014,52
the war on drugs,Pop,2014,60
coldplay,Rock,2014,73
ed sheeran,Pop,2014,84
kensington,Pop,2014,47
first aid kit,Stomp And Holler,2014,64
typhoon,Hip-Hop,2014,47
dotan,Pop,2014,42
the war on drugs,Pop,2014,65
gigi d'agostino,Electronic,2014,70
the who,Rock,2014,39
typhoon,Hip-Hop,2014,43
bush,Metal,2014,65
jeroen van koningsbrugge,Pop,2014,43
the beatles,British Invasion,2014,58
2pac,Funk,2014,41
the script,Rock,2014,75
sam smith,Pop,2014,84
taylor swift,Pop,2014,66
fink,Pop,2014,63
the script,Rock,2014,59
onerepublic,Pop,2014,74
cyndi lauper,Pop,2014,72
nielson,Pop,2014,49
kensington,Pop,2014,49
michael jackson,Pop,2014,70
walk the moon,Pop,2014,82
mr. probz,Hip-Hop,2014,61
blaudzun,Rock,2014,43
james bay,Neo Mellow,2014,74
disturbed,Metal,2015,75
wim sonneveld,Dutch Cabaret,2015,15
muse,Rock,2015,69
nightwish,Metal,2015,58
maaike ouboter,Pop,2015,29
armin van buuren,Electronic,2015,53
andre hazes,Pop,2015,26
sia,Australian Dance,2015,71
mark ronson,Pop,2015,82
anouk,Rock,2015,33
anouk,Rock,2015,20
tame impala,Rock,2015,76
coldplay,Rock,2015,69
tame impala,Rock,2015,85
u2,Rock,2015,45
twenty one pilots,Rock,2015,83
