popular_albuns_rank,artist_band,reference_year,musical_genre,total_awards_nominations,uk number 1's,million_sales
442,herbie hancock,1973,jazz,0,0,0
443,public enemy,1988,hip-hop,6,0,0
445,idles,2018,rock,0,0,0
446,the kinks,1968,rock,0,0,0
447,the dismemberment plan,1999,rock,0,0,0
451,denzel curry x kenny beatsdenzel currykenny beats,2020,hip-hop,0,0,0
452,nick cave and the bad seeds,1994,rock,0,0,0
453,bowie,1974,rock,0,0,0
455,george harrison,1970,rock,0,0,0
456,deep purple,1972,rock,0,0,0
459,boris,2005,rock,0,0,0
460,charles mingus,1959,jazz,0,0,0
463,yves tumor,2020,rock,0,0,0
464,the killers,2004,rock,0,0,0
466,dua lipa,2020,pop,0,0,0
467,captain beefheart and his magic band,1967,rock,0,0,0
469,dr. dre,1992,hip-hop,26,0,0
470,mac miller,2020,soul_funk,0,0,0
474,lil ugly mane,2012,hip-hop,0,0,0
475,this heat,1981,rock,0,0,0
479,big black,1987,rock,0,0,0
481,unwound,2001,rock,0,0,0
485,mastodon,2004,metal,0,0,0
486,neu!,1972,rock,0,0,0
487,the mothers of invention,1966,rock,0,0,0
488,파란노을 [parannoul],2021,rock,0,0,0
489,the xx,2009,pop,0,0,0
494,squid,2021,rock,0,0,0
499,black flag,1981,rock,0,0,0
500,simon and garfunkel,1970,pop,0,0,0
501,john lennon / plastic ono band,1970,rock,0,0,0
504,jessie ware,2020,pop,0,0,0
506,agalloch,2002,metal,0,0,0
507,sun kil moon,2014,folk,0,0,0
509,faith no more,1992,rock,0,0,0
513,hüsker dü,1984,rock,0,0,0
514,freddie gibbs & the alchemist,2020,hip-hop,0,0,0
519,silk sonic,2021,soul_funk,0,0,0
520,mobb deep,1995,hip-hop,0,0,0
523,broken social scene,2002,rock,0,0,0
526,cream,1967,rock,1,0,0
527,explosions in the sky,2003,rock,0,0,0
532,pulp,1995,rock,0,0,0
535,james blake,2011,pop,0,0,0
537,minutemen,1984,rock,0,0,0
545,kid cudi,2009,pop,0,0,0
546,devo,1978,rock,0,0,0
547,crystal castles,2008,electronic,0,0,0
548,porcupine tree,2002,rock,0,0,0
549,bloc party,2005,rock,0,0,0
551,steely dan,1977,rock,0,0,0
552,coil,2005,electronic,0,0,0
557,rina sawayama,2020,pop,0,0,0
558,low,1994,rock,0,0,0
559,clipping.,2020,hip-hop,0,0,0
560,ulver,1995,metal,0,0,0
564,dream theater,1992,metal,0,0,0
565,parquet courts,2018,rock,0,0,0
571,c418,2011,electronic,0,0,0
